,V1,V2,mean,variance
600,3.2157,2.5,0.296724,0.000055
601,3.2157,2.6,0.310653,0.000061
602,3.2157,2.7,0.324625,0.000066
603,3.2157,2.8,0.338615,0.000071
604,3.2157,2.9,0.352597,0.000077
605,3.2157,3,0.366547,0.000082
606,3.2157,3.1,0.380446,0.000088
607,3.2157,3.2,0.394272,0.000093
608,3.2157,3.3,0.408007,0.000098
609,3.2157,3.4,0.421637,0.000103
610,3.2157,3.5,0.435144,0.000108
611,3.2157,3.6,0.448517,0.000112
612,3.2157,3.7,0.461741,0.000116
613,3.2157,3.8,0.474805,0.000121
614,3.2157,3.9,0.487699,0.000124
615,3.2157,4,0.500410,0.000128
616,3.6212,0,0.041251,0.000000
617,3.6212,0.1,0.046366,0.000000
618,3.6212,0.2,0.051911,0.000001
619,3.6212,0.3,0.057899,0.000001
620,3.6212,0.4,0.064341,0.000001
621,3.6212,0.5,0.071246,0.000002
622,3.6212,0.6,0.078620,0.000003
623,3.6212,0.7,0.086469,0.000003
624,3.6212,0.8,0.094793,0.000004
625,3.6212,0.9,0.103589,0.000006
626,3.6212,1,0.112853,0.000007
627,3.6212,1.1,0.122576,0.000009
628,3.6212,1.2,0.132746,0.000012
629,3.6212,1.3,0.143348,0.000014
630,3.6212,1.4,0.154366,0.000018
631,3.6212,1.5,0.165777,0.000021
632,3.6212,1.6,0.177559,0.000025
633,3.6212,1.7,0.189685,0.000030
634,3.6212,1.8,0.202129,0.000035
635,3.6212,1.9,0.214861,0.000040
636,3.6212,2,0.227851,0.000046
637,3.6212,2.1,0.241067,0.000052
638,3.6212,2.2,0.254479,0.000059
639,3.6212,2.3,0.268054,0.000066
640,3.6212,2.4,0.281762,0.000074
641,3.6212,2.5,0.295573,0.000081
642,3.6212,2.6,0.309456,0.000089
643,3.6212,2.7,0.323385,0.000097
644,3.6212,2.8,0.337332,0.000105
645,3.6212,2.9,0.351273,0.000113
646,3.6212,3,0.365184,0.000121
647,3.6212,3.1,0.379044,0.000129
648,3.6212,3.2,0.392834,0.000137
649,3.6212,3.3,0.406536,0.000144
650,3.6212,3.4,0.420132,0.000152
651,3.6212,3.5,0.433609,0.000159
652,3.6212,3.6,0.446952,0.000166
653,3.6212,3.7,0.460148,0.000172
654,3.6212,3.8,0.473187,0.000178
655,3.6212,3.9,0.486056,0.000184
656,3.6212,4,0.498745,0.000189
657,4.3143,0,0.041137,0.000001
658,4.3143,0.1,0.046231,0.000001
659,4.3143,0.2,0.051752,0.000001
660,4.3143,0.3,0.057715,0.000002
661,4.3143,0.4,0.064129,0.000003
662,4.3143,0.5,0.071005,0.000004
663,4.3143,0.6,0.078349,0.000005
664,4.3143,0.7,0.086165,0.000007
665,4.3143,0.8,0.094455,0.000009
666,4.3143,0.9,0.103215,0.000011
667,4.3143,1,0.112442,0.000014
668,4.3143,1.1,0.122127,0.000018
669,4.3143,1.2,0.132257,0.000022
670,4.3143,1.3,0.142820,0.000028
671,4.3143,1.4,0.153795,0.000034
